iter	Passed	Remaining
244	340	1050
245	342	1048
246	343	1046
247	344	1044
248	345	1042
249	346	1040
250	348	1039
251	349	1037
252	350	1036
253	352	1035
254	353	1032
255	354	1031
256	355	1029
257	357	1027
258	358	1025
259	359	1023
260	360	1022
261	362	1021
262	363	1019
263	365	1017
264	366	1015
265	367	1014
266	368	1012
267	370	1011
268	371	1009
269	372	1008
270	373	1006
271	375	1004
272	376	1002
273	377	1001
274	379	999
275	380	997
276	381	996
277	382	994
278	384	993
279	385	991
280	387	990
281	388	988
282	389	987
283	391	986
284	392	984
285	393	983
286	395	981
287	396	979
288	397	978
289	399	977
290	401	978
291	403	977
292	404	976
293	405	974
294	407	973
295	408	971
296	410	970
297	411	969
298	412	967
299	414	966
300	415	964
301	416	962
302	417	961
303	419	959
304	420	958
305	421	956
306	423	955
307	424	953
308	425	952
309	427	950
310	428	948
311	429	947
312	431	946
313	432	944
314	433	943
315	435	941
316	436	940
317	437	938
318	438	936
319	440	936
320	441	934
321	443	933
322	444	931
323	445	930
324	447	929
325	448	927
326	450	927
327	452	927
328	454	927
329	456	926
330	457	925
331	459	923
332	460	923
333	462	922
334	463	920
335	465	919
336	466	917
337	467	916
338	469	915
339	470	914
340	472	913
341	473	911
342	474	909
343	476	908
344	477	906
345	479	906
346	480	904
347	482	903
348	483	902
349	485	900
350	486	900
351	488	899
352	489	897
353	491	896
354	492	894
355	493	893
356	495	891
357	496	890
358	498	890
359	500	889
360	501	888
361	503	886
362	504	885
363	505	883
364	506	882
365	508	881
366	510	879
367	511	878
368	512	876
369	513	875
370	515	873
371	516	872
372	518	871
373	519	869
374	520	868
375	522	866
376	523	865
377	524	863
378	526	862
379	527	861
380	529	859
381	530	858
382	531	856
383	533	855
384	534	853
385	535	852
386	537	850
387	538	849
388	539	848
389	541	846
390	542	845
391	543	843
392	545	841
393	546	840
394	547	839
395	549	837
396	550	836
397	551	834
398	553	833
399	554	832
400	556	830
401	557	829
402	559	828
403	560	826
404	561	825
405	562	823
406	564	822
407	565	820
408	567	819
409	568	817
410	569	816
411	570	814
412	572	813
413	573	811
414	574	810
415	576	809
416	577	808
417	579	806
418	580	805
419	582	803
420	583	802
421	585	801
422	586	800
423	587	798
424	589	797
425	590	795
426	591	793
427	592	792
428	594	790
429	596	790
430	598	789
431	599	788
432	600	786
433	601	785
434	603	783
435	605	782
436	606	781
437	608	780
438	609	778
439	610	777
440	612	775
441	613	774
442	615	773
443	616	772
444	617	770
445	619	769
446	620	768
447	622	766
448	623	765
449	625	764
450	626	762
451	627	761
452	629	759
453	630	758
454	631	756
455	633	755
456	634	754
457	636	752
458	637	751
459	638	749
460	639	748
461	641	746
462	642	745
463	644	744
464	645	742
465	647	741
466	648	740
467	649	738
468	650	737
469	652	735
470	654	734
471	655	733
472	656	731
473	657	730
474	659	728
475	660	727
476	661	725
477	663	724
478	664	722
479	666	721
480	667	720
481	668	718
482	669	717
483	671	715
484	672	714
485	674	713
486	675	711
487	677	710
488	678	708
489	679	707
490	680	705
491	682	704
492	683	703
493	685	701
494	686	700
495	687	698
496	689	697
497	690	695
498	691	694
499	693	693
500	695	692
501	696	690
502	697	689
503	698	687
504	699	686
505	701	684
506	702	683
507	704	682
508	705	681
509	707	679
510	708	678
511	709	676
512	711	675
513	712	674
514	714	672
515	715	671
516	716	669
517	718	668
518	719	666
519	720	665
520	722	664
521	723	662
522	725	661
523	726	659
524	727	658
525	728	656
526	730	655
527	731	654
528	733	652
529	734	651
530	735	649
531	737	648
532	738	646
533	739	645
534	741	644
535	742	643
536	744	641
537	745	640
538	746	638
539	748	637
540	750	636
541	752	635
542	753	634
543	754	632
544	755	631
545	757	629
546	758	627
547	759	626
548	761	625
549	763	625
550	765	623
551	766	622
552	767	620
553	769	619
554	770	618
555	772	616
556	773	615
557	774	613
558	776	612
559	777	611
560	779	609
561	781	608
562	782	607
563	783	605
564	785	604
565	786	602
566	787	601
567	788	599
568	790	598
569	792	597
570	794	596
571	795	595
572	797	594
573	798	592
574	800	591
575	802	590
576	803	588
577	804	587
578	805	586
579	807	584
580	808	583
581	810	581
582	811	580
583	813	579
584	814	577
585	815	576
586	816	574
587	817	573
588	819	572
589	821	570
590	822	569
591	823	567
592	824	566
593	826	564
594	827	563
595	829	562
596	830	560
597	832	559
598	833	557
599	834	556
600	836	555
601	837	553
602	839	552
603	840	551
604	841	549
605	843	548
606	844	546
607	845	545
608	847	543
609	849	542
610	850	541
611	852	540
612	853	538
613	854	537
614	855	535
615	856	534
616	858	532
617	859	531
618	861	530
619	862	528
620	863	527
621	864	525
622	866	524
623	867	522
624	868	521
625	870	519
626	871	518
627	872	516
628	873	515
629	875	513
630	876	512
631	878	511
632	879	509
633	880	508
634	882	506
635	883	505
636	884	504
637	886	502
638	887	501
639	889	500
640	890	498
641	892	497
642	893	495
643	894	494
644	896	493
645	897	491
646	899	490
647	900	489
648	901	487
649	903	486
650	904	484
651	905	483
652	907	482
653	908	480
654	910	479
655	911	477
656	912	476
657	914	475
658	915	473
659	917	472
660	918	471
661	919	469
662	921	468
663	922	466
664	923	465
665	925	463
666	926	462
667	928	461
668	929	459
669	930	458
670	931	456
671	933	455
672	934	454
673	936	453
674	938	451
675	939	450
676	940	448
677	941	447
678	943	445
679	944	444
680	946	443
681	947	441
682	948	440
683	950	438
684	951	437
685	953	436
686	954	434
687	956	433
688	957	432
689	959	430
690	960	429
691	961	428
692	963	426
693	964	425
694	966	424
695	967	422
696	969	421
697	970	419
698	971	418
699	973	417
700	974	415
701	976	414
702	977	413
703	978	411
704	980	410
705	981	408
706	983	407
707	985	406
708	986	405
709	988	403
710	990	402
711	991	401
712	992	399
713	994	398
714	995	396
715	997	395
716	998	394
717	1000	392
718	1001	391
719	1002	390
720	1004	388
721	1006	387
722	1007	385
723	1008	384
724	1009	383
725	1011	381
726	1012	380
727	1014	378
728	1015	377
729	1016	376
730	1017	374
731	1019	373
732	1020	371
733	1021	370
734	1022	368
735	1024	367
736	1025	366
737	1027	364
738	1028	363
739	1029	361
740	1031	360
741	1032	358
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1039	351
747	1040	350
748	1041	349
749	1043	347
750	1044	346
751	1046	345
752	1047	343
753	1048	342
754	1050	340
755	1051	339
756	1053	338
757	1054	336
758	1055	335
759	1057	333
760	1058	332
761	1059	330
762	1061	329
763	1062	328
764	1064	326
765	1065	325
766	1066	324
767	1068	322
768	1069	321
769	1070	319
770	1072	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1079	311
776	1080	310
777	1081	308
778	1083	307
779	1084	305
780	1085	304
781	1087	303
782	1088	301
783	1089	300
784	1091	298
785	1093	297
786	1094	296
787	1095	294
788	1097	293
789	1098	292
790	1099	290
791	1101	289
792	1103	288
793	1104	286
794	1106	285
795	1107	283
796	1108	282
797	1110	281
798	1111	279
799	1113	278
800	1114	276
801	1115	275
802	1116	273
803	1118	272
804	1119	271
805	1121	269
806	1122	268
807	1123	267
808	1125	265
809	1126	264
810	1127	262
811	1129	261
812	1130	260
813	1132	258
814	1133	257
815	1135	255
816	1136	254
817	1137	253
818	1138	251
819	1140	250
820	1142	249
821	1143	247
822	1144	246
823	1145	244
824	1147	243
825	1148	241
826	1150	240
827	1151	239
828	1152	237
829	1153	236
830	1155	234
831	1156	233
832	1157	232
833	1159	230
834	1161	229
835	1162	228
836	1163	226
837	1165	225
838	1166	223
839	1167	222
840	1169	221
841	1171	219
842	1172	218
843	1174	217
844	1175	215
845	1176	214
846	1177	212
847	1179	211
848	1180	210
849	1182	208
850	1183	207
851	1185	205
852	1187	204
853	1188	203
854	1190	201
855	1191	200
856	1193	199
857	1194	197
858	1195	196
859	1197	194
860	1198	193
861	1200	192
862	1201	190
863	1203	189
864	1204	187
865	1205	186
866	1206	185
867	1208	183
868	1209	182
869	1211	180
870	1212	179
871	1213	178
872	1215	176
873	1216	175
874	1217	173
875	1219	172
876	1220	171
877	1221	169
878	1223	168
879	1224	166
880	1225	165
881	1227	164
882	1229	162
883	1230	161
884	1231	160
885	1233	158
886	1234	157
887	1235	155
888	1237	154
889	1238	153
890	1240	151
891	1241	150
892	1242	148
893	1243	147
894	1245	146
895	1246	144
896	1247	143
897	1249	141
898	1250	140
899	1251	139
900	1252	137
901	1254	136
902	1255	134
903	1257	133
904	1258	132
905	1260	130
906	1261	129
907	1262	127
908	1264	126
909	1265	125
910	1267	123
911	1268	122
912	1269	120
913	1270	119
914	1272	118
915	1273	116
916	1274	115
917	1275	113
918	1277	112
919	1278	111
920	1280	109
921	1281	108
922	1282	106
923	1283	105
924	1285	104
925	1287	102
926	1288	101
927	1289	100
928	1291	98
929	1292	97
930	1293	95
931	1295	94
932	1296	93
933	1297	91
934	1298	90
935	1300	88
936	1301	87
937	1302	86
938	1304	84
939	1305	83
940	1307	81
941	1308	80
942	1309	79
943	1311	77
944	1312	76
945	1313	74
946	1314	73
947	1316	72
948	1317	70
949	1318	69
950	1320	68
951	1321	66
952	1322	65
953	1324	63
954	1325	62
955	1326	61
956	1327	59
957	1329	58
958	1330	56
959	1331	55
960	1333	54
961	1334	52
962	1335	51
963	1337	49
964	1338	48
965	1339	47
966	1340	45
967	1342	44
968	1343	42
969	1344	41
970	1346	40
971	1347	38
972	1348	37
973	1350	36
974	1351	34
975	1352	33
976	1354	31
977	1355	30
978	1357	29
979	1358	27
980	1359	26
981	1360	24
982	1362	23
983	1363	22
984	1364	20
985	1366	19
986	1367	18
987	1369	16
988	1370	15
989	1371	13
990	1373	12
991	1374	11
992	1376	9
993	1377	8
994	1379	6
995	1380	5
996	1382	4
997	1385	2
998	1386	1
999	1387	0
